"Nombre,""Tipo"",""Tipo"",""Da�o"",""Efecto"",""Fisico o Especial"""
"Golpe,""Normal"",""70"",""100"",""no"",""F"""
"A Bocajarro,""Lucha"",""120"",""100"",""no"",""F"""
"Acrobata,""Volador"",""110"",""100"",""no"",""F"""
"Ala Mortifera,""Volador"",""80"",""100"",""helea 50% del daño"",""E"""
"Amortiguador,""Normal"",""0"",""100"",""helea 50% de la vida maxima"",""F"""
"Asta Drenaje,""Planta"",""75"",""100"",""helea 50% del daño"",""F"""
"Avalancha,""Roca"",""75"",""90"",""no"",""F"""
"Balon Igneo,""Fuego"",""120"",""90"",""10% de quemar al rival"",""F"""
"Barrera Espinosa,""Planta"",""0"",""100"",""bloquea"",""F"""
"Bola Sombra,""Fantasma"",""80"",""100"",""no"",""E"""
"Bomba Germen,""Planta"",""80"",""100"",""no"",""F"""
"Bomba Lodo,""Veneno"",""90"",""100"",""30% envenenar"",""E"""
"Brecha Negra,""Siniestro"",""0"",""100"",""80% de dormir al rival"",""F"""
"Brillo Magico,""Hada"",""80"",""100"",""no"",""E"""
"Cabeza De Hierro,""Acero"",""80"",""100"",""no"",""F"""
"Cabezazo Zen,""Psiquico"",""80"",""90"",""no"",""F"""
"Carga Dragon,""Dragon"",""100"",""75"",""no"",""F"""
"Cascada,""Agua"",""80"",""100"",""no"",""F"""
"Chorro De Vapor,""Agua"",""110"",""95"",""30% de quemar"",""E"""
"Colmillo Igneo,""Fuego"",""65"",""95"",""10% de quemar al rival"",""F"""
"Come Sueños,""Psiquico"",""100"",""100"",""helea 50% del daño si (solo pega si esta dormido)"",""E"""
"Cometa Draco,""Dragon"",""130"",""90"",""no"",""E"""
"Danza Llama,""Fuego"",""80"",""100"",""no"",""E"""
"Demolicion,""Lucha"",""75"",""100"",""no"",""F"""
"Descanso,""Psiquico"",""0"",""100"",""se recupera el 100% de su vida pero se duerme 2 turnos"",""F"""
"Doble Rayo,""Bicho"",""75"",""100"",""no"",""E"""
"Energibola,""Planta"",""90"",""100"",""no"",""E"""
"Envite Igneo,""Fisico"",""120"",""100"",""10% de quemar"",""F"""
"Esfera Aural,""Lucha"",""80"",""100"",""no"",""E"""
"Espada Santa,""Lucha"",""90"",""100"",""no"",""F"""
"Explosion,""Normal"",""250"",""100"",""el pokemon que usa esto se debilita"",""F"""
"Foco Resplandor,""Acero"",""80"",""100"",""no"",""E"""
"Fuego Fatuo,""Fuego"",""0"",""85"",""quema al rival"",""F"""
"Fuego Sagrado,""Fuego"",""100"",""95"",""50% de quemar al rival"",""F"""
"Fuerza Lunar,""Hada"",""95"",""100"",""no"",""E"""
"Garra Dragon,""Dragon"",""80"",""100"",""no"",""F"""
"Garra Umbria,""Fantasma"",""70"",""100"",""no"",""F"""
"Gigadrenado,""Planta"",""75"",""100"",""helea 50% del daño"",""E"""
"Hoja Afilada,""Planta"",""55"",""95"",""no"",""F"""
"Hoja Aguda,""Planta"",""90"",""100"",""no"",""F"""
"Joya De Luz,""Roca"",""80"",""100"",""no"",""E"""
"Lanzallamas,""Fuego"",""90"",""100"",""10% de quemar al rival"",""E"""
"Llama Embrujada,""Fuego"",""75"",""100"",""10% de quemar al rival"",""E"""
"Mazazo,""Planta"",""120"",""100"",""no"",""F"""
"Megacuerno,""Bicho"",""120"",""85"",""no"",""F"""
"Mov. Sismico,""Lucha"",""100"",""100"",""no"",""F"""
"Onda Certera,""Lucha"",""120"",""70"",""no"",""E"""
"Onda Toxica,""Veneno"",""95"",""100"",""10% de envenenar"",""E"""
"Onda Trueno,""Electrico"",""0"",""100"",""paraliza al objetivo"",""F"""
"Patada Ignea,""Fuego"",""85"",""90"",""10% de quemar al rival"",""F"""
"Patada S.A.,""Lucha"",""130"",""90"",""si falla el pokemon pierde 50% de la vida"",""F"""
"Proteccion,""Normal"",""0"",""100"",""bloquea"",""F"""
"Psicocorte,""Psiquico"",""70"",""100"",""no"",""F"""
"Psiquico,""Psiquico"",""90"",""100"",""no"",""E"""
"Pulso Dragon,""Dragon"",""85"",""100"",""no"",""E"""
"Pulso Umbrio,""Siniestro"",""80"",""100"",""no"",""E"""
"Puño Drenaje,""Lucha"",""75"",""100"",""helea el 50% del daño"",""F"""
"Puño Fuego,""Fuego"",""75"",""100"",""10% de quemar al rival"",""F"""
"Puño Hielo,""Hielo"",""75"",""100"",""10% de congelar al rival"",""F"""
"Puño Plasma,""Electrico"",""100"",""100"",""no"",""F"""
"Puño Trueno,""Electrico"",""75"",""100"",""10% de paralizar al rival"",""F"""
"Puya Nociva,""Veneno"",""80"",""100"",""30% de envenenar al rival"",""F"""
"Rayo,""Electrico"",""90"",""100"",""10% de paralizar al rival"",""E"""
"Rayo Hielo,""Hielo"",""90"",""100"",""10% de congelar al rival"",""E"""
"Recuperacion,""Normal"",""0"",""100"",""helea el 50% de la vida maxima"",""F"""
"Respiro,""Volador"",""0"",""100"",""helea el 50% de la vida maxima"",""F"""
